SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	June 02, 2019	May 31, 2019	May 30, 2019	May 29, 2019	May 28, 2019
Chinese yuan		0.1051480000	0.1051580000	0.1049150000	0.1048700000
Euro		0.8094400000	0.8085200000	0.8094100000	0.8111360000
Japanese yen		0.0066394400	0.0066274700	0.0066398600	0.0066174800
U.K. pound		0.9132060000	0.9172280000	0.9172980000	0.9185070000
U.S. dollar		0.7258900000	0.7261720000	0.7255380000	0.7247460000
Algerian dinar					
Australian dollar		0.5020260000	0.5031650000	0.5027980000	0.5021770000
Botswana pula					
Brazilian real		0.1842310000	0.1828500000	0.1815710000	0.1799760000
Brunei dollar		0.5264270000	0.5264790000	0.5256000000	0.5263610000
Canadian dollar			0.5378650000	0.5368790000	0.5377650000
Chilean peso		0.0010254700	0.0010253800	0.0010313600	0.0010406100
Colombian peso		0.0002161790		0.0002157750	0.0002157730
Czech koruna		0.0313519000	0.0312897000	0.0313015000	0.0313852000
Danish krone				0.1083730000	0.1086020000
Indian rupee		0.0103987000	0.0104058000	0.0103826000	0.0104109000
Israeli New Shekel		0.1997500000	0.2006000000	0.2005910000	0.2005380000
Korean won		0.0006099920	0.0006086430	0.0006109280	0.0006120650
Kuwaiti dinar		2.3870100000	2.3879400000	2.3874200000	2.3848200000
Malaysian ringgit		0.1729540000	0.1730420000	0.1729320000	0.1728670000
Mauritian rupee		0.0204608000	0.0204971000	0.0204958000	0.0205056000
Mexican peso		0.0369549000	0.0380827000	0.0377109000	0.0378157000
New Zealand dollar		0.4726270000	0.4729560000	0.4747200000	0.4744190000
Norwegian krone		0.0826679000		0.0828211000	0.0834807000
Omani rial		1.8878800000	1.8886100000	1.8869600000	1.8849100000
Peruvian sol			0.2162510000	0.2163200000	0.2161490000
Philippine peso		0.0138908000	0.0138630000	0.0138811000	0.0138965000
Polish zloty		0.1885530000	0.1883810000	0.1881870000	0.1888050000
Qatari riyal		0.1994200000	0.1994980000	0.1993240000	0.1991060000
Russian ruble		0.0111021000	0.0111619000	0.0111779000	0.0112295000
Saudi Arabian riyal		0.1935710000	0.1936460000	0.1934770000	0.1932660000
Singapore dollar		0.5264270000	0.5264790000	0.5256000000	0.5263610000
South African rand		0.0494486000	0.0496745000	0.0490681000	0.0495539000
Swedish krona		0.0760054000		0.0756312000	0.0758753000
Swiss franc		0.7223150000		0.7209600000	0.7218950000
Thai baht		0.0228591000	0.0228356000	0.0227920000	0.0227951000
Trinidadian dollar			0.1078160000	0.1074600000	0.1070720000
U.A.E. dirham		0.1976560000	0.1977320000	0.1975600000	0.1973440000
Uruguayan peso			0.0206082000	0.0206148000	0.0206410000

Currency units per SDR(3)

Currency	June 02, 2019	May 31, 2019	May 30, 2019	May 29, 2019	May 28, 2019
Chinese yuan		9.510400	9.509500	9.531530	9.535620
Euro		1.235420	1.236830	1.235470	1.232840
Japanese yen		150.615000	150.887000	150.606000	151.115000
U.K. pound		1.095040	1.090240	1.090160	1.088720
U.S. dollar		1.377620	1.377080	1.378290	1.379790
Algerian dinar					
Australian dollar		1.991930	1.987420	1.988870	1.991330
Botswana pula					
Brazilian real		5.427970	5.468960	5.507490	5.556300
Brunei dollar		1.899600	1.899410	1.902590	1.899840
Canadian dollar			1.859200	1.862620	1.859550
Chilean peso		975.163000	975.248000	969.594000	960.975000
Colombian peso		4,625.800000		4,634.460000	4,634.500000
Czech koruna		31.896000	31.959400	31.947400	31.862200
Danish krone				9.227390	9.207930
Indian rupee		96.165900	96.100300	96.315000	96.053200
Israeli New Shekel		5.006260	4.985040	4.985270	4.986590
Korean won		1,639.370000	1,643.000000	1,636.850000	1,633.810000
Kuwaiti dinar		0.418934	0.418771	0.418862	0.419319
Malaysian ringgit		5.781880	5.778940	5.782620	5.784790
Mauritian rupee		48.873900	48.787400	48.790500	48.767200
Mexican peso		27.060000	26.258600	26.517500	26.444000
New Zealand dollar		2.115830	2.114360	2.106500	2.107840
Norwegian krone		12.096600		12.074200	11.978800
Omani rial		0.529695	0.529490	0.529953	0.530529
Peruvian sol			4.624260	4.622780	4.626440
Philippine peso		71.990100	72.134500	72.040400	71.960600
Polish zloty		5.303550	5.308390	5.313860	5.296470
Qatari riyal		5.014540	5.012580	5.016960	5.022450
Russian ruble		90.073000	89.590500	89.462200	89.051200
Saudi Arabian riyal		5.166060	5.164060	5.168570	5.174220
Singapore dollar		1.899600	1.899410	1.902590	1.899840
South African rand		20.223000	20.131100	20.379800	20.180000
Swedish krona		13.157000		13.222100	13.179500
Swiss franc		1.384440		1.387040	1.385240
Thai baht		43.746300	43.791300	43.875000	43.869100
Trinidadian dollar			9.275060	9.305790	9.339510
U.A.E. dirham		5.059290	5.057350	5.061750	5.067290
Uruguayan peso			48.524400	48.508800	48.447300


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
